Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,Actual Labels,Predicted Labels,,,Accuracy,,Definition
MedQA,,,Chest X‑Ray 14 Dataset,0,1,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedMCQA,,,ophthalmology,0,1,0,1,,,,,,,Dataset/Benchmark,Scientific Domain/Problem,No,,,,"Ophthalmology is the branch of medicine that deals with the diagnosis, treatment, and surgery of eye diseases and disorders."
PubMedQA,,,afrimed qa,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MMLU Med,,,AgentClinic,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
AfriMed-QA,,,Visual Question Answering rad,1,0,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
AgentClinic,,,EyePACS Dataset,1,0,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,#ERROR!
Chest X-ray report generation,CXR  report generation,Chest X-ray reporting,CheXpert dataset,1,0,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Histopathology classification,,,Radiology Graph Metric,1,0,1,0,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Electronic health record information retrieval,,,ehrqa,1,0,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedGemma 27B,,,Large Language Model,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"
A large language model (LLM) is a neural network trained on a vast amount of text for natural language processing tasks, especially language generation. LLMs can generate, summarize, translate and parse text in many contexts, and are a foundational technology behind modern chatbots. Biased or inaccurate training data can make an LLM's output less reliable."
SigLIP-400M,,,health ai developer foundations,1,0,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedExpQA,,,multimodal Medical Generative Model for Medical Applications (brand name) 27 Billion Parameters,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
HealthSearchQA,,,siglip 400m,1,0,0,1,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
LiveQA,,,image classification,1,0,0,1,,,,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,"Computer vision tasks include methods for acquiring, processing, analyzing, and understanding digital images, and extraction of high-dimensional data from the real world in order to produce numerical or symbolic information, e.g. in the form of decisions. ""Understanding"" in this context signifies the transformation of visual images into descriptions of the world that make sense to thought processes and can elicit appropriate action. This image understanding can be seen as the disentangling of symbolic information from image data using models constructed with the aid of geometry, physics, statistics, and learning theory."
Pretraing,PT,,siglip,0,1,0,1,,,,,,,Learning Paradigm/Task,Software/Library/Tool,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Vision encoder enhancement,Vision,,"Dataset name ""SLAKE"" (specific expansion not provided in the text)",1,0,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
National Library of Medicine,NLM,,post training,0,1,1,0,,,,,,,Algorithm/Technique,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
PathVQA,,,supervised fine tuning,1,0,0,1,,,,,,,Optimization/Training Method,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedVQA,,,medical image classification,1,0,0,1,,,,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
PAD-UFES-20,,,accuracy,1,0,0,1,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,Accuracy and precision are measures of observational error; accuracy is how close a given set of measurements is to the true value and precision is how close the measurements are to each other.
PMC-OA,,,cardiomegaly,1,0,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Cardiomegaly is a medical condition in which the heart becomes enlarged. It is more commonly referred to simply as ""having an enlarged heart"". It is usually the result of underlying conditions that make the heart work harder, such as obesity, heart valve disease, high blood pressure (hypertension), and coronary artery disease. Cardiomyopathy is also associated with cardiomegaly."
Ophthalmology,,,lung opacity,1,0,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Dermatology,,,Radiology Graph Metric F1 Score,1,0,1,0,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Histopathology ,,,AgentClinic Medical Question Answering,1,0,1,0,,,,,,,Learning Paradigm/Task,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Radiology,,,AgentClinic mimic iv,1,0,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
SLAKE,,,Medical Xpert Question Answering,0,1,1,0,,,,,,,Learning Paradigm/Task,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
VQA-Rad,,,radiology,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Radiology is the medical specialty that uses medical imaging to diagnose diseases and guide treatment within the bodies of humans and other animals. It began with radiography, but today it includes all imaging modalities. This includes technologies that use no ionizing electromagnetic radiation, such as ultrasonography and magnetic resonance imaging (MRI), as well as others that do use radiation, such as computed tomography (CT), fluoroscopy, and nuclear medicine including positron emission tomography (PET). Interventional radiology is the performance of usually minimally invasive medical procedures with the guidance of imaging technologies such as those mentioned above."
MIMIC-CXR,,,gemma 3 27 Billion Parameters,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Digital Knee X-ray,,,zero shot classification,1,0,0,1,,,,,,,Model/Architecture,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
CT-US1,,,linear probe classification,1,0,0,1,,,,,,,Model/Architecture,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MRI-US1,,,ELIXR (a previously published data‑efficient learning framework),1,0,1,0,,,,,,,Model/Architecture,Software/Library/Tool,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Internal histopathology,,,text embeddings,1,0,1,0,,,,,,,Physics/Math Object,Physics/Math Object,Yes,,,,"In natural language processing, a word embedding is a representation of a word. The embedding is used in text analysis. Typically, the representation is a real-valued vector that encodes the meaning of the word in such a way that the words that are closer in the vector space are expected to be similar in meaning. Word embeddings can be obtained using language modeling and feature learning techniques, where words or phrases from the vocabulary are mapped to vectors of real numbers."
Internal dermatology,,,image embeddings,1,0,1,0,,,,,,,Physics/Math Object,Physics/Math Object,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
EyePACS,,,General‑purpose large language model (general model) 2 5 pro,0,1,1,0,,,,,,,Dataset/Benchmark,Model/Architecture,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
PMC,,,electronic health records,1,0,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"An  electronic health record (EHR) is the systematized collection of electronically stored patient and population health information in a digital format. These records can be shared across different health care settings. Records are shared through network-connected, enterprise-wide information systems or other information networks and exchanges. EHRs may include a range of data, including demographics, medical history, medication and allergies, immunization status, laboratory test results, radiology images, vital signs, personal statistics like age and weight, and billing information."
USMLE,,,gemma 3 4b,0,1,0,1,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
SentencePiece,,,large multimodal models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
TPUv4,,,lmms,1,0,1,0,,,,,,,Model/Architecture,Software/Library/Tool,No,,,,"LMMS is a digital audio workstation application program. It allows music to be produced by arranging samples, synthesizing sounds, entering notes via computer keyboard or mouse or by playing on a MIDI keyboard, and combining the features of trackers and sequencers. It is free and open source software, written in Qt and released under GPL-2.0-or-later."
TPUv5e,,,general purpose lmms,1,0,1,0,,,,,,,Model/Architecture,Software/Library/Tool,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
TPUv5p,,,generic models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
WebLI,,,vision language foundation models,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Distillation,Distill,,vision question answering,1,0,0,1,,,,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Reinforcement learning,RL,,chest x ray reporting,1,0,0,1,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Large Instruction-tuned,IT,,histopathology classification,0,1,0,1,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedXpertQA,,,electronic health record information retrieval,0,1,0,1,,,,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MIMIC-CXR,,,text only Medical Generative Model for Medical Applications (brand name) 27 Billion Parameters,0,1,1,0,,,,,,,Learning Paradigm/Task,Model/Architecture,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
,,,medical image encoder,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
ChestX-ray14,CXR14,,retrieval,1,0,1,0,,,,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
CheXpert,,,medexpqa,0,1,0,1,,,,,,,Model/Architecture,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
US-Derm MCQA ,,,liveqa,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Path MCQA,,,healthsearchqa,1,0,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
SLAKE (English-only),,,synthetic,0,1,1,0,,,,,,,Learning Paradigm/Task,Dataset/Benchmark,No,,,,Synthetic may refer to:
VQA-RAD,,,digital knee x ray,0,1,0,1,,,,,,,Scientific Domain/Problem,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
AgentClinic-MedQA,,,ct us1,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
AgentClinic-MIMIC-IV,,,mri us1,1,0,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
MMLU Pro,,,internal histopathology,0,1,0,1,,,,,,,Dataset/Benchmark,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Global MMLU Lite,,,pad ufes 20,0,1,0,1,,,,,,,Scientific Domain/Problem,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
MMMU,,,internal dermatology,0,1,0,1,,,,,,,Dataset/Benchmark,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
OpenAI model,,,pmc,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,PMC may refer to:
DeepSeek R1 model,,,pathvqa,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Hugging Face,,,medvqa,1,0,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Out of distribution,OOD,,pmc oa,0,1,0,1,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Multiple choice question,MCQ,,sentencepiece,1,0,0,1,,,,,,,Software/Library/Tool,Software/Library/Tool,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Macro F1,,,tpuv4,0,1,0,1,,,,,,,Software/Library/Tool,Software/Library/Tool,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Atelectasis,,,tpuv5e,1,0,0,1,,,,,,,Software/Library/Tool,Software/Library/Tool,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Cardiomegaly,,,tpuv5p,1,0,0,1,,,,,,,Software/Library/Tool,Software/Library/Tool,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Consolidation,,,vision encoder enhancement,1,0,0,1,,,,,,,Algorithm/Technique,Algorithm/Technique,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Edema,,,webli,1,0,0,1,,,,,,,Software/Library/Tool,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Pleura effusion,,,multimodal decoder pretraining,0,1,1,0,,,,,,,Optimization/Training Method,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Accuracy,,,distillation,1,0,0,1,,,,,,,Optimization/Training Method,Optimization/Training Method,Yes,,,,"Distillation, also classical distillation, is the process of separating the component substances of a liquid mixture of two or more chemically discrete substances by selective boiling of the mixture and the condensation of the vapors in a still."
Lung opacity,,,reinforcement learning,1,0,0,1,,,,,,,Optimization/Training Method,Learning Paradigm/Task,No,,,,"In machine learning and optimal control, reinforcement learning (RL) is concerned with how an intelligent agent should take actions in a dynamic environment in order to maximize a reward signal. Reinforcement learning is one of the three basic machine learning paradigms, alongside supervised learning and unsupervised learning."
Pneumothorax,,,text question answering,1,0,0,1,,,,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Lung cancer histologic classification,,,openai models,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
US board-certified pathologists,,,generalist models,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Diabetic retinopathy,DR,,deepseek r1,1,0,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
RadGraph F1,,,hugging face,0,1,0,1,,,,,,,Optimization/Training Method,Software/Library/Tool,No,,,,"Hugging Face, Inc., is an American company based in New York City that develops computation tools for building applications using machine learning. Its transformers library built for natural language processing applications and its platform allow users to share machine learning models and datasets and showcase their work."
US board-certified cardiothoracic radiologist ,,,retinal fundus,0,1,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
MedGemma 4B,,,macro F1 Score,0,1,1,0,,,,,,,Metric/Evaluation,Metric/Evaluation,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
BioMistral DARE 7B,,,atelectasis,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Atelectasis is the partial collapse or closure of a lung resulting in reduced or absent gas exchange, more specifically the collapse of alveoli. It is usually unilateral, affecting part or all of one lung. It is a condition where the alveoli are deflated down to little or no volume, as distinct from pulmonary consolidation, in which they are filled with liquid. It is often referred to informally as a collapsed lung, although more accurately it usually involves only a partial collapse, and that ambiguous term is also informally used for a fully collapsed lung caused by a pneumothorax."
JSL-MedLlama 3 8B v2.0,,,consolidation,0,1,0,1,,,,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,Consolidation may refer to:
