Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,,,Definition
transformer,,,physics,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
attention layer,,,pykan,1,0,0,1,,,,,,,,,"In topology, knot theory is the study of mathematical knots. While inspired by knots which appear in daily life, such as those in shoelaces and rope, a mathematical knot differs in that the ends are joined so it cannot be undone, the simplest knot being a ring. In mathematical language, a knot is an embedding of a circle in 3-dimensional Euclidean space, . Two mathematical knots are equivalent if one can be transformed into the other via a deformation of  upon itself ; these transformations correspond to manipulations of a knotted string that do not involve cutting it or passing it through itself."
neuron,,,knot theory,0,1,0,1,,,,,,,,,"

In condensed matter physics, Anderson localization is the absence of diffusion of waves in a disordered medium. This phenomenon is named after the American physicist P. W. Anderson, who was the first to suggest that electron localization is possible in a lattice potential, provided that the degree of randomness (disorder) in the lattice is sufficiently large, as can be realized for example in a semiconductor with impurities or defects."
weight,,,Anderson localization,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
 back propagation,,,fully-connected feedforward neural network,1,0,0,1,,,,,,,,,"Machine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without being explicitly programmed. Advances in the field of deep learning have allowed neural networks, a class of statistical algorithms, to surpass many previous machine learning approaches in performance."
curse of dimensionality ,COD,,machine learning,1,0,0,1,,,,,,,,,The curse of dimensionality refers to various phenomena that arise when analyzing and organizing data in high-dimensional spaces that do not occur in low-dimensional settings such as the three-dimensional physical space of everyday experience. The expression was coined by Richard E. Bellman when considering problems in dynamic programming. The curse generally refers to issues that arise when the number of datapoints is small relative to the intrinsic dimension of the data.
Kolmogorov-Arnold representation,,,curse of dimensionality,1,0,0,1,,,,,,,,,"In numerical analysis, a B-spline is a type of spline function designed to have minimal support (overlap) for a given degree, smoothness, and set of breakpoints, making it a fundamental building block for all spline functions of that degree. A B-spline is defined as a piecewise polynomial of order , meaning a degree of . It is built from sections that meet at these knots, where the continuity of the function and its derivatives depends on how often each knot repeats. Any spline function of a specific degree can be uniquely expressed as a linear combination of B-splines of that degree over the same knots, a property that makes them versatile in mathematical modeling. A special subtype, cardinal B-splines, uses equidistant knots."
ReLU-k,,,B-spline,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
ReLU activation,,,Xavier Initialization,0,1,1,0,,,,,,,,,Kan or KAN may refer to:
PDE,,,KAN,0,1,0,1,,,,,,,,,Kat or KAT may refer to:
Poisson equation,,,KAT,1,0,0,1,,,,,,,,,"The root mean square deviation (RMSD) or root mean square error (RMSE) is a frequently used measure of the distances between actual observed values and an estimation of them .
The deviation is typically simply a differences of scalars; it can also be generalized to the vector lengths of a displacement, as in the bioinformatics concept of root mean square deviation of atomic positions."
knot theory,,,RMSE,1,0,0,1,,,,,,,,,"In machine learning, supervised learning (SL) is a type of machine learning paradigm where an algorithm learns to map input data to a specific output based on example input-output pairs. This process involves training a statistical model using labeled data, meaning each piece of input data is provided with the correct output. The term ""supervised"" refers to the role of a teacher or supervisor who provides this training data, guiding the algorithm towards correct predictions. For instance, if you want a model to identify cats in images, supervised learning would involve feeding it many images of cats (inputs) that are explicitly labeled ""cat"" (outputs)."
Anderson localization,,,supervised learning,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
pykan,,,Kolmogorov-Arnold theorem,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
polynomial number of 1D functions,,,Residual activation function,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
science,,,least squares algorithm,0,1,1,0,,,,,,,,,Limited-memory BFGS is an optimization algorithm in the collection of quasi-Newton methods that approximates the Broyden–Fletcher–Goldfarb–Shanno algorithm (BFGS) using a limited amount of computer memory. It is a popular algorithm for parameter estimation in machine learning. The algorithm's target problem is to minimize  over unconstrained values of the real-vector  where  is a differentiable scalar function.
KAN architecture,,,LBFGS,0,1,0,1,,,,,,,,,"In machine learning, a neural scaling law is an empirical scaling law that describes how neural network performance changes as key factors are scaled up or down. These factors typically include the number of parameters, training dataset size, and training cost. Some models also exhibit performance gains by scaling inference through increased test-time compute (TTC), extending neural scaling laws beyond training to the deployment phase."
B-spline basis,,B-spline,Neural scaling laws,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Kolmogorov-Arnold representation,,,Grid Extension,1,0,1,0,,,,,,,,,"In mathematics, a partial differential equation (PDE) is an equation which involves a multivariable function and one or more of its partial derivatives."
KAN layer,,,Partial Differential Equation,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
normalization,,,Kolmogorov-Arnold Representation,0,1,0,1,,,,,,,,,"Symbolic regression (SR) is a type of regression analysis that searches the space of mathematical expressions to find the model that best fits a given dataset, both in terms of accuracy and simplicity."
smooth activation,,,Symbolic Regression,0,1,0,1,,,,,,,,,"SymPy is an open-source Python library for symbolic computation. It provides computer algebra capabilities either as a standalone application, as a library to other applications, or live on the web as SymPy Live or SymPy Gamma. SymPy is simple to install and to inspect because it is written entirely in Python with few dependencies. This ease of access combined with a simple and extensible codebase in a well-known language make SymPy a computer algebra system with a relatively low barrier to entry."
RMSE,,,Sympy,1,0,1,0,,,,,,,,,"In statistics and machine learning, the bias–variance tradeoff describes the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model. In general, as the number of tunable parameters in a model increases, it becomes more flexible, and can better fit a training data set. That is, the model has lower error or lower bias. However, for more flexible models, there will tend to be greater variance to the model fit each time we take a set of samples to create a new training data set. It is said that there is greater variance in the model's estimated parameters."
ReLU,,,bias-variance tradeoff,1,0,1,0,,,,,,,,,"Regularization may refer to:Regularization (linguistics)
Regularization (mathematics)
Regularization (physics)
Regularization 
Regularization Law, an Israeli law intended to retroactively legalize settlements"
approximation theory,,,regularization,0,1,0,1,,,,,,,,,"Pruning is the selective removal of certain parts of a plant, such as branches, buds, or roots.
It is practiced in horticulture, arboriculture, and silviculture."
smooth Kolmogorov-Arnold representation,,,pruning,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
regularization,,,L1 regularization,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
pruning,,,entropy regularization,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
L1 regularization,,,Pareto Frontier,1,0,0,1,,,,,,,,,"In computer science, incremental learning is a method of machine learning in which input data is continuously used to extend the existing model's knowledge i.e. to further train the model. It represents a dynamic technique of supervised learning and unsupervised learning that can be applied when training data becomes available gradually over time or its size is out of system memory limits. Algorithms that can facilitate incremental learning are known as incremental machine learning algorithms. In contemporary machine learning literature, settings that require learning from a sequence of tasks while limiting catastrophic forgetting are often discussed under the closely related term continual learning."
Feynman dataset,,,continual learning,1,0,0,1,,,,,,,,,"Catastrophic interference, also known as catastrophic forgetting, is the tendency of an artificial neural network to abruptly and drastically forget previously learned information upon learning new information."
Pareto Frontier,,,catastrophic forgetting,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
regression,,,Bessel Function,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
LAN,,Learnable activation network,Adam Optimizer,0,1,1,0,,,,,,,,,Regression or regressions may refer to:
SIREN,,,Regression,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
PSNR,,,Partial Differential Equation Solving,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
degrees of freedom,,,Jacobian Elliptic Functions,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Fitting Image,,,Incomplete Elliptic Integral of the First Kind,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
AI-Scientist-Collaboration paradigm,,,Incomplete Elliptic Integral of the Second Kind,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
kansformer,,,Bessel Function of the First Kind,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
spline activation function,,,Bessel Function of the Second Kind,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
radial basis function,,,Modified Bessel Function of the Second Kind,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
unknot,,,Modified Bessel Function of the First Kind,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
ribbon knot,,,Associated Legendre Function,0,1,1,0,,,,,,,,,"In mathematics and physical science, spherical harmonics are special functions defined on the surface of a sphere. They are often employed in solving partial differential equations in many scientific fields. The table of spherical harmonics contains a list of common spherical harmonics."
knot,,,Spherical Harmonics,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Physics-Informed Neural Network,PINN,,scipy.special,0,1,1,0,,,,,,,,,"Adam is the name given in Genesis 1–5 to the first human. Adam is the first human being aware of God, and features as such in various belief systems."
Physics-Informed Neural Operator,PINO,,Adam,0,1,0,1,,,,,,,,,"Special functions are particular mathematical functions that have more or less established names and notations due to their importance in mathematical analysis, functional analysis, geometry, physics, or other applications."
Deep Ritz Method,,,Special functions,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Fourier Neural operator,,,Sparsification,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
DeepONet,,,Feynman dataset,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Symbolic Regression,,,Feynman_no_units,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Eureka,,,Relativistic velocity addition formula,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
genetic algorithm,,,Physics-Informed Neural Networks,0,1,1,0,,,,,,,,,"
In statistics, the mean squared error (MSE) or mean squared deviation (MSD) of an estimator measures the average of the squares of the errors—that is, the average squared difference between the estimated values and the true value. MSE is a risk function, corresponding to the expected value of the squared error loss. The fact that MSE is almost always strictly positive is because of randomness or because the estimator does not account for information that could produce a more accurate estimate. In machine learning, specifically empirical risk minimization, MSE may refer to the empirical risk, as an estimate of the true MSE."
GPLearn,,,Mean Squared Error,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
PySR,,,L2 squared loss,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
EQL,,,H1 squared loss,1,0,1,0,,,,,,,,,MSE may refer to:
OccamNet,,,MSE,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
AI Feynman ,,,interior loss,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
sigmoid linear unit,,,boundary loss,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
neural network,,,model reduction,0,1,1,0,,,,,,,,,"In mathematics, hyperbolic functions are analogues of the ordinary trigonometric functions, but defined using the hyperbola rather than the circle. Just as the points (cos t, sin t) form a circle with a unit radius, the points (cosh t, sinh t) form the right half of the unit hyperbola. Also, similarly to how the derivatives of sin(t) and cos(t) are cos(t) and –sin(t) respectively, the derivatives of sinh(t) and cosh(t) are cosh(t) and sinh(t) respectively."
Mechanistic Interpretability,MI,,Tanh,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
 intrinsic dimensionality,,,SiLU,0,1,0,1,,,,,,,,,"Condensed matter physics is the field of physics that deals with the macroscopic and microscopic physical properties of matter, especially the solid and liquid phases, that arise from electromagnetic forces between atoms and electrons. More generally, the subject deals with condensed phases of matter: systems of many constituents with strong interactions among them. More exotic condensed phases include the superconducting phase exhibited by certain materials at extremely low cryogenic temperatures, the ferromagnetic and antiferromagnetic phases of spins on crystal lattices of atoms, the Bose–Einstein condensates found in ultracold atomic systems, and liquid crystals. Condensed matter physicists seek to understand the behavior of these phases by experiments to measure various material properties, and by applying the physical laws of quantum mechanics, electromagnetism, statistical mechanics, and other physics theories to develop mathematical models and predict the properties of extremely large groups of atoms."
quantization of task,,,condensed matter physics,0,1,1,0,,,,,,,,,"In physics, chemistry and biology, a phase transition is the physical process of transition between one state of a medium and another. Commonly the term is used to refer to changes among the basic states of matter: solid, liquid, and gas, and in rare cases, plasma. A phase of a thermodynamic system and the states of matter have uniform physical properties. During a phase transition of a given medium, certain properties of the medium change as a result of the change of external conditions, such as temperature or pressure. This can be a discontinuous change; for example, a liquid may become gas upon heating to its boiling point, resulting in an abrupt change in volume. The identification of the external conditions at which a transformation occurs defines the phase transition point."
resource theory,,,Phase Transition,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
random feature,,,Special Function Dataset,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
compositional sparsity,,,tanh function,0,1,1,0,,,,,,,,,"Google DeepMind, trading as Google DeepMind or simply DeepMind, is a British-American artificial intelligence (AI) research laboratory which serves as a subsidiary of Alphabet Inc. Founded in the UK in 2010, it was acquired by Google in 2014 and merged with Google AI's Google Brain division to become Google DeepMind in April 2023. The company is headquartered in London, with research centres in the United States, Canada, France, Germany, and Switzerland."
maximumarity,,,Google Deepmind,0,1,1,0,,,,,,,,,"Self-supervised learning (SSL) is a paradigm in machine learning where a model is trained on a task using the data itself to generate supervisory signals, rather than relying on externally-provided labels. In the context of neural networks, self-supervised learning aims to leverage inherent structures or relationships within the input data to create meaningful training signals. SSL tasks are designed so that solving them requires capturing essential features or relationships in the data. The input data is typically augmented or transformed in a way that creates pairs of related samples, where one sample serves as the input, and the other is used to formulate the supervisory signal. This augmentation can involve introducing noise, cropping, rotation, or other transformations. Self-supervised learning more closely imitates the way humans learn to classify objects."
generalized additive model,GAM,,contrastive learning,0,1,1,0,,,,,,,,,"In mathematics, a Gaussian function, often simply referred to as a Gaussian, is a function of the base form

and with parametric extension

for arbitrary real constants a, b and non-zero c. It is named after the mathematician Carl Friedrich Gauss. The graph of a Gaussian is a characteristic symmetric ""bell curve"" shape. The parameter a is the height of the curve's peak, b is the horizontal position of the center of the peak, and c controls the width of the ""bell""."
graph neural network,,,Gaussian function,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
kernel machine,,,knot dataset,0,1,0,1,,,,,,,,,"In machine learning and optimal control, reinforcement learning (RL) is concerned with how an intelligent agent should take actions in a dynamic environment in order to maximize a reward signal. Reinforcement learning is one of the three basic machine learning paradigms, alongside supervised learning and unsupervised learning."
knob,,,reinforcement learning,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Modified Andre-Aubry Model,MAAM,,smooth 4d Poincaré conjecture,0,1,0,1,,,,,,,,,"A signature is a depiction of someone's name, nickname, or even a simple ""X"" or other mark that a person writes on documents as a proof of identity and intent. Signatures are often, but not always, handwritten or stylized. The writer of a signature is a signatory or signer. A signature may be confused with an autograph, which is chiefly an artistic signature. This can lead to confusion when people have both an autograph and signature and as such some people in the public eye keep their signatures private whilst fully publishing their autograph."
deep learning,,,signature,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
GAAM-KAN,,,meridinal distance,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
quasiperiodicity,,,longitudinal distance,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
generalized Aubry-André model,GAAM,,test accuracy,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Mosaic model,MM,,auto-symbolic regression,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Unsupervised learning,,,Prof. Shi Lab,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Gaussian function,,,Georgia Tech,1,0,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Deepmind paper,,,cusp volume,0,1,1,0,,,,,,,,,This is a glossary of some terms used in Riemannian geometry and metric geometry — it doesn't cover the terminology of differential topology.
Taylor series,,,injectivity radius,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Pade representation,,,Unsupervised toy dataset,0,1,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Georgia tech,,,Cross-entropy loss,1,0,1,0,,,,,,,,,"In mathematics, a Padé approximant is the ""best"" approximation of a function near a specific point by a rational function of given order. Under this technique, the approximant's power series agrees with the power series of the function it is approximating. The technique was developed around 1890 by Henri Padé, but goes back to Georg Frobenius, who introduced the idea and investigated the features of rational approximations of power series."
Knot dataset,,,Pade approximation,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Supervised learning,,,Inverse participation ratio,1,0,1,0,,,,,,,,,"In geometric measure theory, fractal dimensions enable consistent statistical indexes of complexity in patterns. Since fractal patterns can be scale -variant, measuring space-filling capacity should be possible in non-integer (fractal) dimensions."
Knot Theory,,,Fractal dimension,1,0,1,0,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
biology,,,Mosaic model,0,1,0,1,,,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
